Accident_ID,Date_Time,Location,Vehicle_Type,Weather_Condition,Road_Condition,Cause,Accident_Report
a73e6ec4-43b8-4738-866c-6a1e271bfe5b,2023-11-30 15:30:30,Crimson Bend,Truck,Clear,Oily,Animal crossing unexpectedly,"On a clear day, a truck encountered an accident at Crimson Bend due to animal crossing unexpectedly. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
428fc0ae-7ee8-4fc1-9aae-0660a8178bbf,2025-04-25 15:50:30,Nova Square,Bike,Snowy,Damaged,Poor visibility in fog,"On a snowy day, a bike encountered an accident at Nova Square due to poor visibility in fog. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
dc8cac89-463f-462c-a665-676c4e02b82d,2023-08-26 01:26:30,Silverlake Roundabout,Truck,Clear,Wet,Driver distraction due to mobile phone,"On a clear day, a truck encountered an accident at Silverlake Roundabout due to driver distraction due to mobile phone. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
212b9cd8-6bff-43e3-b457-ca9f70b45f67,2024-02-22 18:19:30,Nova Square,Car,Stormy,Wet,Animal crossing unexpectedly,"On a stormy day, a car encountered an accident at Nova Square due to animal crossing unexpectedly. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
e75f5cb3-2f63-4bfd-ba9d-ff8a12ee6b8e,2024-10-24 11:58:30,Radiant Gardens Curve,SUV,Foggy,Oily,Over-speeding vehicle,"On a foggy day, a suv encountered an accident at Radiant Gardens Curve due to over-speeding vehicle. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
97d08b2f-6e56-4745-a9ff-7bd7c27d88ff,2024-09-12 00:21:30,Nova Square,Bus,Foggy,Wet,Collision due to sudden lane change,"On a foggy day, a bus encountered an accident at Nova Square due to collision due to sudden lane change. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
731d321f-5239-44cf-8457-57a90a216032,2024-07-11 11:36:30,Velora Market Lane,Bus,Stormy,Wet,Collision due to sudden lane change,"On a stormy day, a bus encountered an accident at Velora Market Lane due to collision due to sudden lane change. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
aba8bcbb-7dbc-4c85-af8c-abb3639b6140,2024-09-06 16:03:30,Sunshadow Bridge,SUV,Overcast,Damaged,Driver distraction due to mobile phone,"On a overcast day, a suv encountered an accident at Sunshadow Bridge due to driver distraction due to mobile phone. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
23b9c28d-085f-465f-9262-31d5ff83cb23,2025-05-14 08:04:30,Echo Ridge Drive,Bus,Snowy,Damaged,Collision due to sudden lane change,"On a snowy day, a bus encountered an accident at Echo Ridge Drive due to collision due to sudden lane change. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7798f6f8-3b32-46f7-945e-8cb3f8afe923,2024-05-04 05:35:30,Frostpoint Street,Van,Windy,Under Maintenance,Brake failure on descent,"On a windy day, a van encountered an accident at Frostpoint Street due to brake failure on descent. The road was under maintenance, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
d229e91d-42dc-488d-a3d9-473d2d54f81e,2024-12-08 14:21:30,Velora Market Lane,SUV,Windy,Damaged,Potholes causing vehicle imbalance,"On a windy day, a suv encountered an accident at Velora Market Lane due to potholes causing vehicle imbalance. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
5717b102-df54-4d90-8031-2193d4ce0c1b,2024-07-24 19:19:30,Nova Square,Bike,Windy,Icy,Over-speeding vehicle,"On a windy day, a bike encountered an accident at Nova Square due to over-speeding vehicle. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
81dd3804-1a36-4517-8936-19ed382030de,2024-04-29 10:30:30,Orion Heights Flyover,Car,Foggy,Icy,Sharp curve without warning signs,"On a foggy day, a car encountered an accident at Orion Heights Flyover due to sharp curve without warning signs. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
7edeaf74-a849-4b70-8790-a978efd172d4,2025-02-17 10:22:30,Frostpoint Street,Car,Stormy,Oily,Potholes causing vehicle imbalance,"On a stormy day, a car encountered an accident at Frostpoint Street due to potholes causing vehicle imbalance. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
90774e15-3214-4e00-8212-d6a1fa308d96,2024-05-14 23:55:30,Frostpoint Street,Auto Rickshaw,Rainy,Under Maintenance,Sharp curve without warning signs,"On a rainy day, a auto rickshaw encountered an accident at Frostpoint Street due to sharp curve without warning signs. The road was under maintenance, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
1f9b4502-48fe-47d3-b9ed-ffd551217c36,2024-12-17 12:49:30,Lumen Creek Boulevard,Bus,Stormy,Damaged,Poor visibility in fog,"On a stormy day, a bus encountered an accident at Lumen Creek Boulevard due to poor visibility in fog. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
81b936f7-5f13-47f6-ab57-350bcda595c4,2024-11-15 16:12:30,Stormfall Plaza,Truck,Clear,Damaged,Collision due to sudden lane change,"On a clear day, a truck encountered an accident at Stormfall Plaza due to collision due to sudden lane change. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
3268a198-622c-46b0-91e6-8907b10a2955,2024-12-08 02:31:30,Echo Ridge Drive,Auto Rickshaw,Snowy,Dry,Slippery road due to rain,"On a snowy day, a auto rickshaw encountered an accident at Echo Ridge Drive due to slippery road due to rain. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
75dceb4d-3d7f-42ff-900f-ea17fd96518a,2025-01-27 08:12:30,Silverlake Roundabout,Auto Rickshaw,Rainy,Damaged,Animal crossing unexpectedly,"On a rainy day, a auto rickshaw encountered an accident at Silverlake Roundabout due to animal crossing unexpectedly. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
a71c7ffa-2f12-4683-9bcf-d969cc6a9135,2024-02-29 08:50:30,Sunshadow Bridge,Bus,Clear,Oily,Improper signage near construction site,"On a clear day, a bus encountered an accident at Sunshadow Bridge due to improper signage near construction site. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
897b765e-4f26-4b68-ba43-f1ce5ac60a88,2024-09-03 00:20:30,Ironforge Underpass,Auto Rickshaw,Foggy,Icy,Animal crossing unexpectedly,"On a foggy day, a auto rickshaw encountered an accident at Ironforge Underpass due to animal crossing unexpectedly. The road was icy, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
b892657c-5de1-4544-89de-408b8fe8a32f,2025-01-03 21:50:30,Holloway Tunnel,Bicycle,Overcast,Dry,Poor visibility in fog,"On a overcast day, a bicycle encountered an accident at Holloway Tunnel due to poor visibility in fog. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
8a81d613-e2ea-4a76-a5d6-ffd5dae62e3d,2023-12-31 05:15:30,Velora Market Lane,Bicycle,Stormy,Wet,Brake failure on descent,"On a stormy day, a bicycle encountered an accident at Velora Market Lane due to brake failure on descent. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
60e33bb9-44ae-46de-bc0f-2e131378d5bd,2023-09-10 14:39:30,Quartz Hill Road,Car,Windy,Damaged,Potholes causing vehicle imbalance,"On a windy day, a car encountered an accident at Quartz Hill Road due to potholes causing vehicle imbalance. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
a02c2ef4-db25-4a0f-9d02-093aa3aaa755,2023-11-15 03:17:30,Silverlake Roundabout,Auto Rickshaw,Foggy,Dry,Slippery road due to rain,"On a foggy day, a auto rickshaw encountered an accident at Silverlake Roundabout due to slippery road due to rain. The road was dry, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
25e4ba84-15b8-4a81-a85b-8d2210a03f63,2024-04-24 15:49:30,Echo Ridge Drive,Truck,Overcast,Damaged,Driver distraction due to mobile phone,"On a overcast day, a truck encountered an accident at Echo Ridge Drive due to driver distraction due to mobile phone. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
2d8b15ce-6ba5-40af-880a-bcc378062bae,2024-02-09 08:02:30,Velora Market Lane,Truck,Overcast,Wet,Improper signage near construction site,"On a overcast day, a truck encountered an accident at Velora Market Lane due to improper signage near construction site. The road was wet, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
57cb6ecb-5e2c-4c97-b85e-831108640801,2025-01-18 04:05:30,Velora Market Lane,Bus,Foggy,Oily,Collision due to sudden lane change,"On a foggy day, a bus encountered an accident at Velora Market Lane due to collision due to sudden lane change. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
ac729749-03a0-4176-980d-f26e3d44dd78,2025-02-05 12:22:30,Northbridge Avenue,SUV,Snowy,Oily,Poor visibility in fog,"On a snowy day, a suv encountered an accident at Northbridge Avenue due to poor visibility in fog. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
529c7ef3-bac1-4f7d-b10a-c209798d7cd8,2023-11-10 02:54:30,Frostpoint Street,SUV,Windy,Oily,Improper signage near construction site,"On a windy day, a suv encountered an accident at Frostpoint Street due to improper signage near construction site. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
ef66f069-3641-4425-b200-bdf83766422e,2023-09-15 01:51:30,Radiant Gardens Curve,Truck,Overcast,Damaged,Potholes causing vehicle imbalance,"On a overcast day, a truck encountered an accident at Radiant Gardens Curve due to potholes causing vehicle imbalance. The road was damaged, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
edcf61f0-c7cc-4b25-929c-3f0ce6d4d829,2023-11-30 03:18:30,Sunshadow Bridge,Truck,Overcast,Oily,Brake failure on descent,"On a overcast day, a truck encountered an accident at Sunshadow Bridge due to brake failure on descent. The road was oily, contributing to the mishap. The vehicle was reportedly moving at moderate speed when the incident occurred. Witnesses suggest that better road design or clearer warnings might have prevented the crash."
